"Name","Catégorie","Quantité","Statut","Spécification","Prix unitaire (€)","Lien","Notes"
"Visserie, inserts et gaine — V1","Boîtier","1","Plus tard","10 inserts M3 OD4,6 × L5,7 ; 10 vis M3×8 ; 4 vis M2×8 avec écrous/rondelles ; gaine thermo 1,5–2 mm","","","Ancienne visserie liée à la coque Rev A/Kitronik. Recalculer après validation mécanique du PCB V0 à 7 encodeurs ; ne pas acheter comme BOM active."
"Panneaux PMMA V1 Rev A / plaque MX Rev B","Boîtier","1","Plus tard","Façade PMMA noir 3 mm 120 × 130 mm + sous-plaque MX PMMA 1,5 mm 120 × 102 mm","","","ARCHIVE — panneaux de l’ancienne version handwired à 3 encodeurs. La façade actuelle à 7 encodeurs sera redessinée après validation du nouveau PCB et des composants réels."
"Pinecil V2 + alimentation USB-C PD","Outils","1","À confirmer","Fer à souder à température réglable","","https://www.amazon.fr/Fraos-portable-chauffage-temp%C3%A9rature-num%C3%A9rique/dp/B09B3XGWJG","Seulement si aucun fer correct à disposition. Vérifier chargeur USB-C PD et offre France dans le panier."
"LEDs RGB sous touches","LEDs","20","À confirmer","SK6812MINI-E adressable, reverse-mount, 3,2 × 2,8 mm, 5 V. Une LED sous SW1…SW20 ; aucune sous SW21 SHIFT.","","","Refactor RGB V0 terminé dans le schéma et importé dans le PCB au commit 7da4129. Footprint KiCad : LED_SMD:LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount. Chaîne serpentine 5 × 4 excluant SHIFT. Au placement, valider l’alignement avec le diffuseur des LEOBOG Reaper, les ouvertures Edge.Cuts et les composants arrière. Référence fournisseur exacte encore à sélectionner."
"Coupon de validation MX 14 mm","Touches MX","1","À acheter","Coupon PMMA 1,5 mm, 35 × 25 mm, ouverture nominale 14,00 × 14,00 mm","","","Étape obligatoire avant la plaque complète : vérifier clipsage, tenue et extraction avec un Gateron réel."
"Fil souple noir et rouge 0,14 mm²","Prototype","2","Plus tard","FC14N noir code 49090 + FC14R rouge code 49095, 10 m chacun, multibrin 0,14 mm²","2.7","https://www.gotronic.fr/art-bobine-10-m-de-cablage-fc14n-23880.htm","Principalement prévu pour l’ancien câblage handwired. Peut rester utile au prototype, mais n’appartient pas à la BOM obligatoire du PCB V0."
"Plaque à pastilles","Prototype","1","Plus tard","10 plaques à trous métallisés, 51 × 38 mm, pas 2,54 mm","13.5","https://www.gotronic.fr/art-10-plaques-de-prototypages-petit-format-36981.htm","Les petites plaques 51×38 mm ne constituent pas le support des 21 switches. Option pour fixer Pico/OLED ou faire un sous-module ; le panneau V1 sera une plaque MX + câblage handwired."
"Résistances 330 Ω 1/4 W","LEDs","2","Plus tard","Lots de 10 résistances","0.2","https://www.gotronic.fr/art-10-resistances-1-4w-330-8486-2570.htm","V1 seulement avec les LEDs ; une résistance par LED."
"Registre à décalage 74HC595","LEDs","2","Plus tard","8 sorties par circuit, boîtier DIL","1.5","https://www.gotronic.fr/art-74hc595-10102.htm","V1 seulement : après audio + touches + OLED fiables."
"LED rouge diffuse 3 mm","LEDs","20","Plus tard","Faible consommation, indicateur de step","0.18","https://www.gotronic.fr/art-led-3-mm-rouge-l934lid-2048.htm","V1 seulement. Ne pas créer une panne de plus dans V0."
"Diodes 1N4148","Touches MX","21","À acheter","1N4148 / IN4148, diode rapide axiale DO-35, traversante. D1…D21.","0.03","https://fr.aliexpress.com/item/1005009379098965.html","Empreinte validée pour la famille choisie : Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal. Pad 1 = cathode : aligner la bague noire. À réception, contrôler seulement le diamètre de patte et le corps DO-35."
"OLED SSD1306 I²C 0,91″ 128×32","Interface","1","À acheter","Référence validée : SSD1306 I²C, 0,91″, 128×32, alimentée en 3,3 V. Pinout certifié par la fiche de cette SKU : 1=GND, 2=VCC, 3=SCL, 4=SDA. PCB 38,00±0,5 × 12,00±0,5 mm ; header P2,54×3 (4 positions).","10.9","https://fr.aliexpress.com/item/1005008640108394.html","Le schéma J2 est confirmé : J2.1=GND, J2.2=+3V3, J2.3=SCL, J2.4=SDA. La fiche ne documente pas les pull-ups I²C : conserver les empreintes optionnelles DNP. À réception, seulement confirmer si la barrette mâle 1×4 est pré-soudée pour choisir J2 socket vs header, et reproduire l’orientation pin 1 sur la sérigraphie."
"Câble micro-USB données","Cœur audio","1","À confirmer","USB-A vers micro-USB, données + alimentation, 1 m","","https://www.gotronic.fr/art-cordon-1-m-rs625-15092.htm","Un câble micro-USB de données pour programmation, alimentation et MIDI USB de la Pico 2 H. Pas un câble charge seule."
"J2 — barrette mâle 1×4, 2,54 mm, THT","Interface","1","À confirmer","Barrette mâle droite sécable 1×4, pas 2,54 mm, à souder sur l’OLED si elle est livrée sans pins.","0.6","","Aucun vendeur figé : confirmer d’abord si le module OLED sélectionné est fourni avec une barrette mâle."
